,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
143,Europe and Central Asia,,2019,,Females,18.42672157,0,0
144,European Union,,2019,,Males,29.80517387,0,0
145,European Union,,2019,,Females,23.76903343,0,0
146,European Union (27),,2019,,Males,,0,0
147,European Union (27),,2019,,Females,,0,0
148,Faeroe Islands,FRO,2019,,Males,,-7,62
149,Faeroe Islands,FRO,2019,,Females,,-7,62
150,Falkland Islands,FLK,2019,,Males,,-59,-51.75
151,Falkland Islands,FLK,2019,,Females,,-59,-51.75
152,Fiji,FJI,2019,,Males,36.20000076,175,-18
153,Fiji,FJI,2019,,Females,10.60000038,175,-18
154,Finland,FIN,2019,,Males,27.70000076,26,64
155,Finland,FIN,2019,,Females,16.60000038,26,64
156,France,FRA,2019,,Males,35.20000076,2,46
157,France,FRA,2019,,Females,31.89999962,2,46
158,French Guiana,GUF,2019,,Males,,-53,4
159,French Guiana,GUF,2019,,Females,,-53,4
160,French Polynesia,PYF,2019,,Males,,-140,-15
161,French Polynesia,PYF,2019,,Females,,-140,-15
162,Gabon,GAB,2019,,Males,,11.75,-1
163,Gabon,GAB,2019,,Females,,11.75,-1
164,Gambia,GMB,2019,,Males,22.20000076,-16.5667,13.4667
165,Gambia,GMB,2019,,Females,0.899999976,-16.5667,13.4667
166,Georgia,GEO,2019,,Males,56.29999924,43.5,42
167,Georgia,GEO,2019,,Females,7,43.5,42
168,Germany,DEU,2019,,Males,24.60000038,9,51
169,Germany,DEU,2019,,Females,20.39999962,9,51
170,Ghana,GHA,2019,,Males,6.800000191,-2,8
171,Ghana,GHA,2019,,Females,0.400000006,-2,8
172,Gibraltar,GIB,2019,,Males,,-5.3667,36.1833
173,Gibraltar,GIB,2019,,Females,,-5.3667,36.1833
174,Greece,GRC,2019,,Males,37.70000076,22,39
175,Greece,GRC,2019,,Females,31.20000076,22,39
176,Greenland,GRL,2019,,Males,,-40,72
177,Greenland,GRL,2019,,Females,,-40,72
178,Grenada,GRD,2019,,Males,,-61.6667,12.1167
179,Grenada,GRD,2019,,Females,,-61.6667,12.1167
180,Guadeloupe,GLP,2019,,Males,,-61.5833,16.25
181,Guadeloupe,GLP,2019,,Females,,-61.5833,16.25
182,Guam,GUM,2019,,Males,,144.7833,13.4667
183,Guam,GUM,2019,,Females,,144.7833,13.4667
184,Guatemala,GTM,2019,,Males,20.39999962,-90.25,15.5
185,Guatemala,GTM,2019,,Females,1.600000024,-90.25,15.5
186,Guernsey,GGY,2019,,Males,,-2.56,49.5
187,Guernsey,GGY,2019,,Females,,-2.56,49.5
188,Guinea,GIN,2019,,Males,,-10,11
189,Guinea,GIN,2019,,Females,,-10,11
190,Guinea-Bissau,GNB,2019,,Males,17.60000038,-15,12
191,Guinea-Bissau,GNB,2019,,Females,0.899999976,-15,12
