Country,Code,Year,Males,Females,Population (historical estimates),Continent,Longitude,Latitude
Mexico,MEX,2020,19.89999962,6.199999809,125998296,,-102,23
Micronesia (country),FSM,2020,,,112119,,158.25,6.9167
Middle East and North Africa,,2020,34.96026993,3.015467405,,,0,0
Middle income,,2020,40.77447128,7.064927578,,,0,0
Moldova,MDA,2020,51.70000076,6.199999809,3084848,,29,47
Monaco,MCO,2020,,,36943,,7.4,43.7333
Mongolia,MNG,2020,51.70000076,7.099999905,3294340,,105,46
Montenegro,MNE,2020,31.60000038,31.10000038,629058,,19,42
Montserrat,MSR,2020,,,4526,,-62.2,16.75
Morocco,MAR,2020,28.20000076,0.800000012,36688768,,-5,32
Mozambique,MOZ,2020,23,5.599999905,31178242,,35,-18.25
Myanmar,MMR,2020,68.5,19.70000076,53423200,,98,22
Namibia,NAM,2020,24.20000076,6,2489099,,17,-22
Nauru,NRU,2020,47.79999924,49.09999847,12339,,166.9167,-0.5333
Nepal,NPL,2020,47.90000153,12.80000019,29348626,,84,28
Netherlands,NLD,2020,24.39999962,19.89999962,17434562,,5.75,52.5
New Caledonia,NCL,2020,,,286412,,165.5,-21.5
New Zealand,NZL,2020,15,12.30000019,5061130,,174,-41
Nicaragua,NIC,2020,,,6755900,,-85,13
Niger,NER,2020,13.69999981,1.100000024,24333644,,8,16
Nigeria,NGA,2020,6.900000095,0.5,208327408,,8,10
Niue,NIU,2020,,,1963,,-169.8667,-19.0333
North America,,2020,27.00751495,16.78303146,594263186,,0,0
North Korea,PRK,2020,34.79999924,0,25867474,,127,40
North Macedonia,MKD,2020,,,2111078,,22,41.8333
Northern Mariana Islands,MNP,2020,,,49611,,145.75,15.2
Norway,NOR,2020,17,15.39999962,5379836,,10,62
Oceania,,2020,,,43933757,,0,0
Oman,OMN,2020,15.5,0.400000006,4543406,,57,21
Pakistan,PAK,2020,33,7.300000191,227196736,,70,30
Palau,PLW,2020,27.29999924,7.900000095,17999,,134.5,7.5
Palestine,PSE,2020,,,5019407,,35.25,32
Panama,PAN,2020,7.699999809,2.200000048,4294391,,-80,9
Papua New Guinea,PNG,2020,53.5,25.10000038,9749641,,147,-6
Paraguay,PRY,2020,18.60000038,4.400000095,6618700,,-58,-23
Peru,PER,2020,13.19999981,3,33304768,,-76,-10
Philippines,PHL,2020,39.29999924,6.5,112190984,,122,13
Poland,POL,2020,27.89999962,20.10000038,38428368,,20,52
Portugal,PRT,2020,30.5,20.20000076,10298186,,-8,39.5
Puerto Rico,PRI,2020,,,3271570,,-66.5,18.25
Qatar,QAT,2020,21.70000076,1.899999976,2760390,,51.25,25.5
Reunion,REU,2020,,,957829,,55.6,-21.1
Romania,ROU,2020,35.90000153,20,19442040,,25,46
Russia,RUS,2020,40.79999924,12.80000019,145617328,,100,60
Rwanda,RWA,2020,20.10000038,7.199999809,13146367,,30,-2
Saint Barthlemy,,2020,,,10706,,0,0
Saint Helena,SHN,2020,,,5448,,-5.7,-15.9333
Saint Kitts and Nevis,KNA,2020,,,47666,,-62.75,17.3333
Saint Lucia,LCA,2020,,,179245,,-61.1333,13.8833
Saint Martin (French part),MAF,2020,,,32577,,0,0
Saint Pierre and Miquelon,SPM,2020,,,5930,,-56.3333,46.8333
Saint Vincent and the Grenadines,VCT,2020,,,104644,,-61.2,13.25
Samoa,WSM,2020,36.09999847,14.5,214934,,-172.3333,-13.5833
San Marino,SMR,2020,,,34038,,12.4167,43.7667
Sao Tome and Principe,STP,2020,10.10000038,1.299999952,218650,,7,1
Saudi Arabia,SAU,2020,26.5,2,35997108,,45,25
Senegal,SEN,2020,13.10000038,0.699999988,16436120,,-14,14
Serbia,SRB,2020,40.5,39.09999847,7358010,,21,44
